feature,mi_score
gz_spectral_centroid,0.900518870071013
gz_bandpower_1_5Hz,0.8319532723340917
ax_hjorth_complexity,0.7552761115843978
gz_iqr,0.6865808024467139
gx_spectral_energy,0.6775505811537454
gx_bandpower_1_5Hz,0.670705049860306
ay_hjorth_complexity,0.6658090194584807
gyro_mag_spectral_energy,0.6634213868380197
gyro_mag_iqr,0.6540808870392469
gyro_mag_bandpower_1_5Hz,0.6518592577155427
gx_iqr,0.6481615524503326
gz_range,0.6338963098717296
az_hjorth_complexity,0.6185480864208073
ay_spectral_centroid,0.6052969480446309
ax_bandpower_1_5Hz,0.6036618798642308
gx_spectral_centroid,0.5975500180850672
gz_min,0.5930793722234713
gz_energy,0.5888857558724041
gyro_mag_energy_over_speed,0.5821279443331921
ax_spectral_centroid,0.5753901318452259
gx_hjorth_complexity,0.5749849977286954
gyro_mag_range,0.5553843614092369
gx_range,0.5505408268653826
az_spectral_centroid,0.5350545726285025
ax_energy,0.5284687264037502
gz_zero_crossing_rate,0.5189933803056443
gx_min,0.5092759127830879
gx_spectral_entropy,0.5014792685165217
acc_mag_energy_over_speed,0.48971050813855
gz_bandpower_5_20Hz,0.4792976332059182
gx_bandpower_5_20Hz,0.47328986442071175
gyro_mag_spectral_centroid,0.463302495943128
ax_range,0.4626528682399931
gyro_mag_hjorth_complexity,0.45294367767855537
ay_bandpower_1_5Hz,0.4489697658192333
ax_dominant_freq,0.44706378566366833
az_iqr,0.44616667424519063
gx_max,0.4447347317604047
gz_dominant_freq,0.42476915834693507
ax_zero_crossing_rate,0.41942404861718563
gyro_mag_bandpower_5_20Hz,0.40618621127771526
acc_mag_bandpower_1_5Hz,0.4051017058117452
gx_energy,0.4023980720881428
gz_hjorth_complexity,0.4008136220009635
gz_spectral_entropy,0.39605206886700106
gyro_mag_jerk_rms,0.39504320989916497
ax_max,0.3818051675129346
az_range,0.3777363734947685
ay_range,0.3728514468992685
ay_dominant_freq,0.3695114904090553
az_zero_crossing_rate,0.3667795395198814
acc_mag_spectral_centroid,0.3642084217519388
az_spectral_entropy,0.3586438471499318
ay_zero_crossing_rate,0.35838275766391936
gx_zero_crossing_rate,0.35073062417316336
az_max,0.34812374164333537
acc_mag_max,0.3334544992629316
gyro_mag_spectral_entropy,0.31040366207157755
ay_max,0.29548548380728734
gyro_mag_min,0.2875569946537615
az_min,0.2843000987794726
acc_mag_spectral_entropy,0.2830215216644931
ax_spectral_entropy,0.28157359782067326
acc_mag_hjorth_complexity,0.2800430793752233
ay_spectral_entropy,0.2561653105961299
gx_mean_abs,0.23302226267270498
gyro_mag_skewness,0.20857592140679193
gx_median,0.20668970329823289
gx_mean,0.1975830247307444
gz_median,0.19539145878299946
gyro_mag_bandpower_40_80Hz,0.19139776324651114
gz_mean,0.18122768217498697
acc_mag_min,0.14414427800751994
acc_mag_bandpower_20_40Hz,0.14080512262800138
gx_bandpower_20_40Hz,0.13076888347464388
ax_jerk_rms,0.12749085978047114
gx_bandpower_40_80Hz,0.12056342009913568
gyro_mag_kurtosis,0.1141658154495544
gyro_mag_dominant_freq,0.10537761463896045
gyro_mag_bandpower_20_40Hz,0.10497191920639581
gx_skewness,0.10379303687219288
gx_kurtosis,0.10018594125631708
az_median,0.09680657081464128
acc_corr_yz,0.0961437169214161
gz_bandpower_40_80Hz,0.08936093835839465
ay_median,0.0857480877166843
az_bandpower_20_40Hz,0.08450495686633852
gx_dominant_freq,0.08057151527075179
acc_mag_bandpower_40_80Hz,0.07644883936047941
ax_median,0.07440177973134654
cross_ay_gz,0.07139596055928354
cross_ax_gz,0.0708745610274355
acc_corr_xy,0.07060902279647419
gyro_corr_xz,0.0693827252656134
ax_bandpower_20_40Hz,0.06626959435182478
gz_bandpower_20_40Hz,0.05606287893331574
ax_bandpower_40_80Hz,0.053073258977234694
acc_mag_dominant_freq,0.05206699282993821
az_dominant_freq,0.050091145377955115
ax_kurtosis,0.04965280209744716
ay_skewness,0.037003420439210455
az_kurtosis,0.03623363675695268
cross_ay_gx,0.03238027895089379
ay_bandpower_20_40Hz,0.02986238107722361
ax_mean,0.02777122194408399
ax_skewness,0.027587238836236594
acc_corr_xz,0.02732992429998493
acc_mag_kurtosis,0.023917394876621145
cross_az_gx,0.022771396746951833
gz_skewness,0.022746336557311952
ay_kurtosis,0.010029521483988724
gz_kurtosis,0.009900384789628625
az_skewness,0.0
ay_mean,0.0
gyro_mag_zero_crossing_rate,0.0
acc_mag_skewness,0.0
acc_mag_zero_crossing_rate,0.0
az_mean,0.0
